#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1840 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:23.23 aq:7.90 tex:117434 mv:9789 misc:5913 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:4 cpbdur:4 q:22.15 aq:11.82 tex:2548 mv:477 misc:535 imb:59 pmb:56 smb:1085 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:22.15 aq:22.75 tex:77 mv:52 misc:215 imb:0 pmb:27 smb:1173 d:- ref:0 ;
in:1 out:3 type:b dur:4 cpbdur:4 q:22.15 aq:28.00 tex:1 mv:3 misc:140 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:3 out:4 type:b dur:4 cpbdur:4 q:22.15 aq:28.00 tex:0 mv:6 misc:138 imb:0 pmb:2 smb:1198 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:22.32 aq:11.23 tex:3548 mv:138 misc:570 imb:4 pmb:91 smb:1105 d:- ref:0 ;
in:6 out:6 type:B dur:4 cpbdur:4 q:22.23 aq:26.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:22.19 aq:28.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:7 out:8 type:b dur:4 cpbdur:4 q:22.28 aq:28.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:14.32 aq:2.45 tex:72182 mv:1570 misc:680 imb:248 pmb:321 smb:631 d:- ref:0 ;
in:10 out:10 type:B dur:4 cpbdur:4 q:18.32 aq:23.00 tex:1 mv:3 misc:156 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:9 out:11 type:b dur:4 cpbdur:4 q:20.32 aq:26.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:16.32 aq:14.48 tex:56 mv:20 misc:140 imb:2 pmb:0 smb:1198 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:6.32 aq:0.20 tex:51101 mv:595 misc:688 imb:51 pmb:247 smb:902 d:- ref:0 ;
in:14 out:14 type:B dur:4 cpbdur:4 q:10.32 aq:3.53 tex:135 mv:71 misc:290 imb:0 pmb:23 smb:1177 d:- ref:0 ;
in:13 out:15 type:b dur:4 cpbdur:4 q:12.32 aq:10.34 tex:72 mv:31 misc:169 imb:2 pmb:3 smb:1195 d:- ref:0 ;
in:15 out:16 type:b dur:4 cpbdur:4 q:8.32 aq:4.29 tex:266 mv:40 misc:182 imb:2 pmb:5 smb:1193 d:- ref:0 ;
in:20 out:17 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:10690 mv:170 misc:644 imb:4 pmb:188 smb:1008 d:- ref:0 ;
in:18 out:18 type:B dur:4 cpbdur:4 q:3.16 aq:0.81 tex:1409 mv:117 misc:426 imb:0 pmb:52 smb:1148 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:4.74 aq:2.71 tex:615 mv:63 misc:250 imb:2 pmb:15 smb:1183 d:- ref:0 ;
in:19 out:20 type:b dur:4 cpbdur:4 q:1.58 aq:0.72 tex:1263 mv:83 misc:342 imb:2 pmb:30 smb:1168 d:- ref:0 ;
in:24 out:21 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:5027 mv:122 misc:627 imb:1 pmb:128 smb:1071 d:- ref:0 ;
in:22 out:22 type:B dur:4 cpbdur:4 q:0.00 aq:0.29 tex:3382 mv:66 misc:560 imb:0 pmb:91 smb:1109 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2509 mv:94 misc:413 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2484 mv:75 misc:409 imb:2 pmb:54 smb:1144 d:- ref:0 ;
in:28 out:25 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:4525 mv:109 misc:630 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1401 mv:28 misc:387 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:25 out:27 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2392 mv:71 misc:409 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2366 mv:71 misc:411 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4527 mv:110 misc:627 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1402 mv:29 misc:385 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:29 out:31 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2354 mv:66 misc:420 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:31 out:32 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2374 mv:81 misc:417 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4564 mv:111 misc:621 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:34 out:34 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:3980 mv:50 misc:586 imb:0 pmb:106 smb:1094 d:- ref:0 ;
in:33 out:35 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2451 mv:66 misc:411 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:35 out:36 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2487 mv:67 misc:414 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:40 out:37 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:4550 mv:113 misc:625 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1382 mv:28 misc:390 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:37 out:39 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2373 mv:67 misc:416 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:39 out:40 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2367 mv:68 misc:413 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:44 out:41 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:4562 mv:107 misc:627 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1356 mv:27 misc:385 imb:0 pmb:38 smb:1162 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2392 mv:66 misc:414 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:43 out:44 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2366 mv:71 misc:411 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4542 mv:109 misc:629 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:46 out:46 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:4004 mv:31 misc:589 imb:0 pmb:105 smb:1095 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2488 mv:66 misc:414 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:47 out:48 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2464 mv:65 misc:415 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4537 mv:108 misc:627 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:50 out:50 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:4010 mv:36 misc:586 imb:0 pmb:105 smb:1095 d:- ref:0 ;
in:49 out:51 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2451 mv:66 misc:411 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2470 mv:76 misc:414 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4568 mv:107 misc:629 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:54 out:54 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:3979 mv:35 misc:586 imb:0 pmb:106 smb:1094 d:- ref:0 ;
in:53 out:55 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2465 mv:65 misc:414 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:55 out:56 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2487 mv:67 misc:414 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4559 mv:109 misc:628 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:58 out:58 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:3961 mv:34 misc:589 imb:0 pmb:105 smb:1095 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2451 mv:66 misc:411 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:59 out:60 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2463 mv:64 misc:417 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:64 out:61 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:4550 mv:109 misc:629 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:62 out:62 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:3961 mv:34 misc:589 imb:0 pmb:105 smb:1095 d:- ref:0 ;
in:61 out:63 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2470 mv:66 misc:416 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2451 mv:68 misc:409 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:4525 mv:109 misc:630 imb:1 pmb:120 smb:1079 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1388 mv:29 misc:383 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:65 out:67 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2381 mv:68 misc:415 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:67 out:68 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2354 mv:66 misc:420 imb:2 pmb:53 smb:1145 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:5824 mv:288 misc:672 imb:19 pmb:124 smb:1057 d:- ref:0 ;
in:70 out:70 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:4022 mv:123 misc:623 imb:0 pmb:126 smb:1074 d:- ref:0 ;
in:69 out:71 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:2451 mv:66 misc:411 imb:2 pmb:55 smb:1143 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:1.30 tex:2490 mv:144 misc:454 imb:2 pmb:76 smb:1122 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:19087 mv:616 misc:657 imb:54 pmb:142 smb:1004 d:- ref:0 ;
in:74 out:74 type:B dur:4 cpbdur:4 q:0.00 aq:0.19 tex:4461 mv:189 misc:654 imb:0 pmb:163 smb:1037 d:- ref:0 ;
in:73 out:75 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:3736 mv:152 misc:456 imb:2 pmb:81 smb:1117 d:- ref:0 ;
in:75 out:76 type:b dur:6 cpbdur:6 q:0.00 aq:1.27 tex:2658 mv:162 misc:468 imb:2 pmb:97 smb:1101 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:6992 mv:170 misc:654 imb:5 pmb:126 smb:1069 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1612 mv:97 misc:443 imb:0 pmb:51 smb:1149 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:0.00 aq:1.37 tex:2397 mv:117 misc:446 imb:2 pmb:59 smb:1139 d:- ref:0 ;
in:79 out:80 type:b dur:4 cpbdur:4 q:0.00 aq:1.50 tex:2984 mv:111 misc:433 imb:3 pmb:56 smb:1141 d:- ref:0 ;
in:84 out:81 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:6502 mv:160 misc:642 imb:5 pmb:120 smb:1075 d:- ref:0 ;
in:82 out:82 type:B dur:4 cpbdur:4 q:0.00 aq:0.17 tex:4995 mv:112 misc:581 imb:0 pmb:103 smb:1097 d:- ref:0 ;
in:81 out:83 type:b dur:4 cpbdur:4 q:0.00 aq:1.30 tex:3628 mv:110 misc:438 imb:2 pmb:64 smb:1134 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:0.00 aq:1.42 tex:4268 mv:91 misc:417 imb:0 pmb:59 smb:1141 d:- ref:0 ;
in:86 out:85 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:9385 mv:432 misc:647 imb:43 pmb:115 smb:1042 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:0.00 aq:1.42 tex:3639 mv:273 misc:440 imb:19 pmb:67 smb:1114 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:9027 mv:414 misc:623 imb:41 pmb:117 smb:1042 d:- ref:0 ;
in:88 out:88 type:B dur:4 cpbdur:4 q:0.00 aq:0.14 tex:5251 mv:166 misc:591 imb:0 pmb:122 smb:1078 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:0.00 aq:1.36 tex:4190 mv:143 misc:443 imb:1 pmb:84 smb:1115 d:- ref:0 ;
in:89 out:90 type:b dur:4 cpbdur:4 q:0.00 aq:1.36 tex:3932 mv:127 misc:413 imb:1 pmb:61 smb:1138 d:- ref:0 ;
in:94 out:91 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:7236 mv:137 misc:611 imb:1 pmb:115 smb:1084 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:3903 mv:101 misc:404 imb:0 pmb:45 smb:1155 d:- ref:0 ;
in:91 out:93 type:b dur:4 cpbdur:4 q:0.00 aq:1.32 tex:3137 mv:98 misc:421 imb:1 pmb:61 smb:1138 d:- ref:0 ;
in:93 out:94 type:b dur:4 cpbdur:4 q:0.00 aq:1.36 tex:2867 mv:85 misc:408 imb:1 pmb:58 smb:1141 d:- ref:0 ;
in:98 out:95 type:P dur:4 cpbdur:4 q:0.00 aq:0.05 tex:7469 mv:140 misc:623 imb:3 pmb:110 smb:1087 d:- ref:0 ;
in:96 out:96 type:B dur:4 cpbdur:4 q:0.00 aq:1.15 tex:2773 mv:71 misc:388 imb:1 pmb:39 smb:1160 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:2938 mv:73 misc:413 imb:1 pmb:58 smb:1141 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:0.00 aq:1.32 tex:4757 mv:90 misc:417 imb:1 pmb:60 smb:1139 d:- ref:0 ;
in:102 out:99 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:67927 mv:1428 misc:757 imb:255 pmb:119 smb:826 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:0.00 aq:0.21 tex:14327 mv:785 misc:760 imb:48 pmb:215 smb:937 d:- ref:0 ;
in:99 out:101 type:b dur:4 cpbdur:4 q:0.00 aq:1.38 tex:4500 mv:234 misc:610 imb:1 pmb:158 smb:1041 d:- ref:0 ;
in:101 out:102 type:b dur:4 cpbdur:4 q:0.00 aq:1.19 tex:5660 mv:546 misc:538 imb:34 pmb:109 smb:1057 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:6391 mv:173 misc:652 imb:4 pmb:121 smb:1075 d:- ref:0 ;
in:104 out:104 type:B dur:4 cpbdur:4 q:0.00 aq:0.19 tex:4000 mv:187 misc:573 imb:0 pmb:90 smb:1110 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:2466 mv:142 misc:464 imb:0 pmb:65 smb:1135 d:- ref:0 ;
in:105 out:106 type:b dur:4 cpbdur:4 q:0.00 aq:1.18 tex:2289 mv:84 misc:411 imb:0 pmb:51 smb:1149 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:4282 mv:163 misc:595 imb:3 pmb:93 smb:1104 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:0.00 aq:1.00 tex:1154 mv:57 misc:373 imb:0 pmb:33 smb:1167 d:- ref:0 ;
